MovieId;Title;Year
1;"The Shawshank Redemption";1994
2;"The Dark Knight";2008
3;"American Beauty";1999
4;"The Light Between Oceans";2016
5;"Apocalypse Now";1979
6;"Platoon";1986
7;"A Beautiful Mind";2001
8;"Snatch";2000
9;"Braveheart";1995
10;"Pulp Fiction";1994
11;"Good Will Hunting";1997
12;"Inglourious Basterds";2009
13;"Matrix";1999
14;"Beauty and the Beast";2017
15;"Forrest Gump";1994
16;"Spider-Man";2002
17;"The Silence of the Lambs";1991
18;"The Departed";2006
19;"Shutter Island";2010
20;"Terminator 2: Judgment Day";1991
21;"The Avengers";2012
22;"Lock, Stock and Two Smoking Barrels";1998
23;"Blade Runner";1982
24;"Dead Poets Society";1989
25;"Batman Begins";2005
26;"Blood in, Blood out";1993
27;"The Notebook";2004
28;"Me Before You";2016
29;"The Usual Suspects";1995
30;"Avatar";2009
